Phone,Price,Mobile Link,Brand
"SAMSUNG Galaxy F54 5G (Stardust Silver, 256 GB)","₹22,999",https://www.flipkart.com/samsung-galaxy-f54-5g-stardust-silver-256-gb/p/itme2f1ad33150df?pid=MOBGPN55PEBUKZX2&lid=LSTMOBGPN55PEBUKZX25RULZW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=browse&fm=organic&iid=en_C7d5cvYFFxKrZX_iPqksmL1JgXGZfOmIfXR1hWCC84ZOG9aHvqyL38qSWVRHpmcDRxiN0zJiustx6AjJNKC62MDbPjpExlWhmpgUQnOg2ao%3D&ppt=None&ppn=None&ssid=eo9ywv1pow0000001713044726529,SAMSUNG
"vivo T2x 5G (Glimmer Black, 128 GB)","₹11,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWRCDY5W&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=browse&fm=organic&iid=708adbcd-c304-4bd9-983a-8fd40dba5af5.MOBGZBFUZDW5JHYW.SEARCH&ppt=None&ppn=None&ssid=eo9ywv1pow0000001713044726529,vivo
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSMEZSSN&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_24&otracker=browse&fm=organic&iid=708adbcd-c304-4bd9-983a-8fd40dba5af5.MOBGZBFUFNDXSGHS.SEARCH&ppt=None&ppn=None&ssid=eo9ywv1pow0000001713044726529,vivo
"Motorola Edge 40 Neo (Black Beauty, 128 GB)","₹22,999",https://www.flipkart.com/motorola-edge-40-neo-black-beauty-128-gb/p/itm01cc46d96a79f?pid=MOBGQFX6JGTWFSGD&lid=LSTMOBGQFX6JGTWFSGDTXTCZS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=browse&fm=organic&iid=145313f0-36ed-4ab7-8fb1-812b5ba68dc2.MOBGQFX6JGTWFSGD.SEARCH&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,Motorola
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹19,426",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ45PS4AQ7BA&lid=LSTMOBGZJ45PS4AQ7BANJ5XF3&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_26&otracker=browse&fm=organic&iid=145313f0-36ed-4ab7-8fb1-812b5ba68dc2.MOBGZJ45PS4AQ7BA.SEARCH&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,OnePlus
"REDMI 13C (Starfrost White, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_27&otracker=browse&fm=organic&iid=en_4ubNTcN2_8AV5sYkCjHzEu8oxPVXUWeiNAKscICwtkqQxRgrW6_cQfmUqIYwi5fBqifQqQQlkcdxo6ohwL7KffUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,REDMI
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹12,999",https://www.flipkart.com/samsung-galaxy-f15-5g-ash-black-128-gb/p/itm81af925bc1e26?pid=MOBGYBAVFGJGMQGY&lid=LSTMOBGYBAVFGJGMQGYZF1Q0M&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_28&otracker=browse&fm=organic&iid=en_4ubNTcN2_8AV5sYkCjHzEu8oxPVXUWeiNAKscICwtkqQYuCWmEvguaX4LrXLvJVhWVbtftfNp22HGgSThhIisfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,SAMSUNG
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹19,419",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ3ZFQ8AKKRS&lid=LSTMOBGZJ3ZFQ8AKKRS488YYT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=browse&fm=organic&iid=145313f0-36ed-4ab7-8fb1-812b5ba68dc2.MOBGZJ3ZFQ8AKKRS.SEARCH&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,OnePlus
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,390",https://www.flipkart.com/nokia-105-single-sim-keypad-mobile-phone-wireless-fm-radio/p/itm1e2206f816463?pid=MOBGQFVG9WPRN3TH&lid=LSTMOBGQFVG9WPRN3THBQCPO0&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=browse&fm=organic&iid=145313f0-36ed-4ab7-8fb1-812b5ba68dc2.MOBGQFVG9WPRN3TH.SEARCH&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,Nokia
"Xiaomi 14 Ultra (White, 512 GB)","₹99,999",https://www.flipkart.com/xiaomi-14-ultra-white-512-gb/p/itmedf0f28337915?pid=MOBGZZBHFXB2E5KK&lid=LSTMOBGZZBHFXB2E5KKNU2ABM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=browse&fm=organic&iid=en_4ubNTcN2_8AV5sYkCjHzEu8oxPVXUWeiNAKscICwtkoxrrL6PK2btL-zgwtAKQZPkUbmvgqTG5Bz-xYRUldLsPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,Xiaomi
