Phone,Price,Mobile Link,Brand,Color,Storage
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSMEZSSN&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_22&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGZBFUFNDXSGHS.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,vivo,Stardust Silver,256 GB
"vivo T2x 5G (Sunstone Orange, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-sunstone-orange-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGXZG9HX9EUTZR&lid=LSTMOBGXZG9HX9EUTZRVKASRL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGXZG9HX9EUTZR.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,vivo,Glimmer Black,128 GB
"vivo T2x 5G (Marine Blue, 128 GB)","₹14,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZHRYUKVR&lid=LSTMOBGZBFUZHRYUKVRNME6VW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGZBFUZHRYUKVR.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,vivo,Aurora Gold,128 GB
"vivo T2x 5G (Black Gladiator, 128 GB)","₹14,999",https://www.flipkart.com/vivo-t2x-5g-black-gladiator-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGXZG9GWN7SMQK&lid=LSTMOBGXZG9GWN7SMQKBTE6JO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGXZG9GWN7SMQK.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,vivo,2a,Not available
"vivo T2x 5G (Sunstone Orange, 128 GB)","₹11,999",https://www.flipkart.com/vivo-t2x-5g-sunstone-orange-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGXZG9N7GSM9XJ&lid=LSTMOBGXZG9N7GSM9XJOLZEUY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_26&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGXZG9N7GSM9XJ.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,vivo,Starfrost White,128 GB
"Nothing Phone (2a) 5G (Black, 128 GB)","₹23,999",https://www.flipkart.com/nothing-phone-2a-5g-black-128-gb/p/itm85c6bca5edadc?pid=MOBGVMQSZWSCFFWT&lid=LSTMOBGVMQSZWSCFFWTLEUOV6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_27&otracker=browse&fm=organic&iid=en_xvlwIWbazzgUE7k1gzyxBp4vkbH0FhkDLA2yTwY5bVyeBvknzC8wDEDgzK2fPDZ_UhCgNtUJgrdrwsXsjTCLxPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,Nothing,Power Black,64 GB
"vivo T2x 5G (Black Gladiator, 128 GB)","₹11,999",https://www.flipkart.com/vivo-t2x-5g-black-gladiator-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGXZG9KZTVDKHG&lid=LSTMOBGXZG9KZTVDKHGHHE5JQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_28&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGXZG9KZTVDKHG.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,vivo,Ocean Green,128 GB
"vivo T2x 5G (Marine Blue, 128 GB)","₹11,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUPTU7DNCA&lid=LSTMOBGZBFUPTU7DNCAHXPJPG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGZBFUPTU7DNCA.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,vivo,Charcoal Black,128 GB
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹17,427",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZJ85FAA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGZJ3WM5SGTGVZ.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,OnePlus,Ice Blue,128 GB
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹17,459",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMNIQMJQ7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGZJ42KHUZZKMN.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,OnePlus,Ink blue,128 GB
"vivo T2x 5G (Aurora Gold, 128 GB)","₹11,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUQMTHYHSH&lid=LSTMOBGZBFUQMTHYHSHJMZZZF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGZBFUQMTHYHSH.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,vivo,Ash Black,128 GB
"Motorola Edge 40 Neo (Black Beauty, 256 GB)","₹24,999",https://www.flipkart.com/motorola-edge-40-neo-black-beauty-256-gb/p/itmd1cc863c7e37a?pid=MOBGQFX6FXEZ3GCE&lid=LSTMOBGQFX6FXEZ3GCEQGSJBA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGQFX6FXEZ3GCE.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,Motorola,Ink blue,128 GB
"vivo T2x 5G (Glimmer Black, 128 GB)","₹14,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEW3VLBC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGZBFUZEMCKRGE.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,vivo,Royal Blue,64 GB
"MOTOROLA G04 (Satin Blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g04-satin-blue-128-gb/p/itm723b134b6121c?pid=MOBGUFK4DNFX5BFV&lid=LSTMOBGUFK4DNFX5BFVR3WXGI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_35&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGUFK4DNFX5BFV.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,MOTOROLA,White,512 GB
