Phone,Price,Mobile Link,Brand,Color
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹17,499",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMNI4CBJY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=browse&fm=organic&iid=71b7ef13-995c-4aad-a778-ffcf7e64a797.MOBGZJ42KHUZZKMN.SEARCH&ppt=None&ppn=None&ssid=s3xdrwhluo0000001713047450668,OnePlus,Ice Blue
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,290",https://www.flipkart.com/nokia-105-single-sim-keypad-mobile-phone-wireless-fm-radio/p/itm1e2206f816463?pid=MOBGQFVGYU2F5CYT&lid=LSTMOBGQFVGYU2F5CYTWFPKTG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=browse&fm=organic&iid=71b7ef13-995c-4aad-a778-ffcf7e64a797.MOBGQFVGYU2F5CYT.SEARCH&ppt=None&ppn=None&ssid=s3xdrwhluo0000001713047450668,Nokia,Ink blue
"REDMI 13C (Stardust Black, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-stardust-black-128-gb/p/itm9b22752239e4d?pid=MOBGW4HKVU4ZGZFZ&lid=LSTMOBGW4HKVU4ZGZFZCHB6WV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=browse&fm=organic&iid=71b7ef13-995c-4aad-a778-ffcf7e64a797.MOBGW4HKVU4ZGZFZ.SEARCH&ppt=None&ppn=None&ssid=s3xdrwhluo0000001713047450668,REDMI,Ash Black
"MOTOROLA g24 Power (Glacier Blue, 128 GB)","₹8,999",https://www.flipkart.com/motorola-g24-power-glacier-blue-128-gb/p/itm981de8de27246?pid=MOBGUFK4BDFF37GG&lid=LSTMOBGUFK4BDFF37GGSDO3HT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=browse&fm=organic&iid=71b7ef13-995c-4aad-a778-ffcf7e64a797.MOBGUFK4BDFF37GG.SEARCH&ppt=None&ppn=None&ssid=s3xdrwhluo0000001713047450668,MOTOROLA,Ink blue
"Motorola G34 5G (Charcoal Black, 128 GB)","₹10,999",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itm357c0dba433c3?pid=MOBGUFK494PA7H5Z&lid=LSTMOBGUFK494PA7H5ZSSVXQV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=browse&fm=organic&iid=71b7ef13-995c-4aad-a778-ffcf7e64a797.MOBGUFK494PA7H5Z.SEARCH&ppt=None&ppn=None&ssid=s3xdrwhluo0000001713047450668,Motorola,Royal Blue
"REDMI 13C (Starfrost White, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_35&otracker=browse&fm=organic&iid=71b7ef13-995c-4aad-a778-ffcf7e64a797.MOBGWUHSZKWBZQWJ.SEARCH&ppt=None&ppn=None&ssid=s3xdrwhluo0000001713047450668,REDMI,White
"Motorola Edge 40 Neo (Black Beauty, 256 GB)","₹24,999",https://www.flipkart.com/motorola-edge-40-neo-black-beauty-256-gb/p/itmd1cc863c7e37a?pid=MOBGQFX6FXEZ3GCE&lid=LSTMOBGQFX6FXEZ3GCEQGSJBA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_36&otracker=browse&fm=organic&iid=71b7ef13-995c-4aad-a778-ffcf7e64a797.MOBGQFX6FXEZ3GCE.SEARCH&ppt=None&ppn=None&ssid=s3xdrwhluo0000001713047450668,Motorola,Groovy Violet
"MOTOROLA G04 (Sunrise Orange, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-sunrise-orange-64-gb/p/itm4fb15fb244a2b?pid=MOBGUFK4NYZHCY9V&lid=LSTMOBGUFK4NYZHCY9VGYAV1A&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_37&otracker=browse&fm=organic&iid=71b7ef13-995c-4aad-a778-ffcf7e64a797.MOBGUFK4NYZHCY9V.SEARCH&ppt=None&ppn=None&ssid=s3xdrwhluo0000001713047450668,MOTOROLA,Starshine Green
"Motorola g54 5G (Pearl Blue, 128 GB)","₹14,999",https://www.flipkart.com/motorola-g54-5g-pearl-blue-128-gb/p/itm8d5c2baa065c6?pid=MOBGQFX8TMM555GW&lid=LSTMOBGQFX8TMM555GWMGXPWV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_38&otracker=browse&fm=organic&iid=71b7ef13-995c-4aad-a778-ffcf7e64a797.MOBGQFX8TMM555GW.SEARCH&ppt=None&ppn=None&ssid=s3xdrwhluo0000001713047450668,Motorola,Satin Blue
"Motorola g84 5G (Marshmallow Blue, 256 GB)","₹17,999",https://www.flipkart.com/motorola-g84-5g-marshmallow-blue-256-gb/p/itm7807a599d2202?pid=MOBGQFX6CNRYHFGF&lid=LSTMOBGQFX6CNRYHFGFCPKTXR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_39&otracker=browse&fm=organic&iid=71b7ef13-995c-4aad-a778-ffcf7e64a797.MOBGQFX6CNRYHFGF.SEARCH&ppt=None&ppn=None&ssid=s3xdrwhluo0000001713047450668,Motorola,Glacier Blue
