Phone,Price,Mobile Link,Rating,Reviews
"Apple iPhone 13 (Green, 128 GB)","₹52,999",https://www.flipkart.com/apple-iphone-13-green-128-gb/p/itm18a55937b2607?pid=MOBGC9VGSU9DWGJZ&lid=LSTMOBGC9VGSU9DWGJZUXUVYB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_20_464&otracker=browse&fm=organic&iid=c163bca0-683a-49f9-8853-9f18a147fe3a.MOBGC9VGSU9DWGJZ.SEARCH&ppt=None&ppn=None&ssid=sabud1e6wg0000001713284361047,4.6,No reviews available
"OnePlus 12R (Iron Gray, 256 GB)","₹41,740",https://www.flipkart.com/oneplus-12r-iron-gray-256-gb/p/itm347349f7db2f2?pid=MOBGZ8RSPHZWR22T&lid=LSTMOBGZ8RSPHZWR22TEMTGAX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_21_500&otracker=browse&fm=organic&iid=0d14d82d-3a0d-4bfe-88da-822ae1ec26d9.MOBGZ8RSPHZWR22T.SEARCH&ppt=None&ppn=None&ssid=v88fz2b34g0000001713284362008,4.6,No reviews available
"Apple iPhone 15 (Green, 256 GB)","₹75,999",https://www.flipkart.com/apple-iphone-15-green-256-gb/p/itmc24db2484dee9?pid=MOBGTAGPGF8HJGS7&lid=LSTMOBGTAGPGF8HJGS7FKUSRQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_21_503&otracker=browse&fm=organic&iid=0d14d82d-3a0d-4bfe-88da-822ae1ec26d9.MOBGTAGPGF8HJGS7.SEARCH&ppt=None&ppn=None&ssid=v88fz2b34g0000001713284362008,4.6,No reviews available
"Apple iPhone 14 Plus (Blue, 128 GB)","₹65,999",https://www.flipkart.com/apple-iphone-14-plus-blue-128-gb/p/itmac8385391b02b?pid=MOBGHWFHUYWGB5F2&lid=LSTMOBGHWFHUYWGB5F2XIJVA7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_22_506&otracker=browse&fm=organic&iid=dee21832-ab95-414c-91ae-06ce4a86625e.MOBGHWFHUYWGB5F2.SEARCH&ppt=None&ppn=None&ssid=ihywdf1yfk0000001713284362983,4.6,No reviews available
"Apple iPhone 15 (Blue, 256 GB)","₹75,999",https://www.flipkart.com/apple-iphone-15-blue-256-gb/p/itm986f66c53cae4?pid=MOBGTAGPNEZZY2YR&lid=LSTMOBGTAGPNEZZY2YRE1FCIG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_22_519&otracker=browse&fm=organic&iid=dee21832-ab95-414c-91ae-06ce4a86625e.MOBGTAGPNEZZY2YR.SEARCH&ppt=None&ppn=None&ssid=ihywdf1yfk0000001713284362983,4.6,No reviews available
"Apple iPhone 15 Plus (Pink, 128 GB)","₹75,999",https://www.flipkart.com/apple-iphone-15-plus-pink-128-gb/p/itmecb6209a78172?pid=MOBGTAGPXUWEXXWY&lid=LSTMOBGTAGPXUWEXXWYKVXCUT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_22_524&otracker=browse&fm=organic&iid=dee21832-ab95-414c-91ae-06ce4a86625e.MOBGTAGPXUWEXXWY.SEARCH&ppt=None&ppn=None&ssid=ihywdf1yfk0000001713284362983,4.6,No reviews available
"Apple iPhone 13 (Green, 128 GB)","₹52,999",https://www.flipkart.com/apple-iphone-13-green-128-gb/p/itm18a55937b2607?pid=MOBGC9VGSU9DWGJZ&lid=LSTMOBGC9VGSU9DWGJZUXUVYB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_22_525&otracker=browse&fm=organic&iid=dee21832-ab95-414c-91ae-06ce4a86625e.MOBGC9VGSU9DWGJZ.SEARCH&ppt=None&ppn=None&ssid=ihywdf1yfk0000001713284362983,4.6,No reviews available
"Apple iPhone 14 ((PRODUCT)RED, 128 GB)","₹58,999",https://www.flipkart.com/apple-iphone-14-product-red-128-gb/p/itm1f78a4e1a1d76?pid=MOBGHWFHFBJVSW22&lid=LSTMOBGHWFHFBJVSW22H8TJ3V&marketplace=FLIPKART&store=tyy%2F4io&srno=b_24_555&otracker=browse&fm=organic&iid=6547a7c7-fe08-4200-9762-5db6c318f10d.MOBGHWFHFBJVSW22.SEARCH&ppt=None&ppn=None&ssid=qsxqfhf8jk0000001713284364946,4.6,No reviews available
"Apple iPhone 14 ((PRODUCT)RED, 128 GB)","₹58,999",https://www.flipkart.com/apple-iphone-14-product-red-128-gb/p/itm1f78a4e1a1d76?pid=MOBGHWFHFBJVSW22&lid=LSTMOBGHWFHFBJVSW22H8TJ3V&marketplace=FLIPKART&store=tyy%2F4io&srno=b_26_607&otracker=browse&fm=organic&iid=897669f5-2713-4eab-9093-c5110c1d882b.MOBGHWFHFBJVSW22.SEARCH&ppt=None&ppn=None&ssid=1askbgbic00000001713284367541,4.6,No reviews available
"Apple iPhone 15 Plus (Black, 128 GB)","₹75,999",https://www.flipkart.com/apple-iphone-15-plus-black-128-gb/p/itme3a53984760fb?pid=MOBGTAGPNRQA7CS3&lid=LSTMOBGTAGPNRQA7CS3L7XK7L&marketplace=FLIPKART&store=tyy%2F4io&srno=b_26_619&otracker=browse&fm=organic&iid=897669f5-2713-4eab-9093-c5110c1d882b.MOBGTAGPNRQA7CS3.SEARCH&ppt=None&ppn=None&ssid=1askbgbic00000001713284367541,4.6,No reviews available
"Apple iPhone 12 (Black, 64 GB)","₹41,999",https://www.flipkart.com/apple-iphone-12-black-64-gb/p/itma2559422bf7c7?pid=MOBFWBYZU5FWK2VP&lid=LSTMOBFWBYZU5FWK2VPQTNJSG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_30_713&otracker=browse&fm=organic&iid=0898a07b-2938-4591-b0c5-98a9fbb1bb25.MOBFWBYZU5FWK2VP.SEARCH&ppt=None&ppn=None&ssid=qpfdyf4tbk0000001713284372539,4.6,No reviews available
"Apple iPhone 12 (Blue, 64 GB)","₹41,999",https://www.flipkart.com/apple-iphone-12-blue-64-gb/p/itm5778ad0d0d255?pid=MOBFWBYZ8DNJNY7N&lid=LSTMOBFWBYZ8DNJNY7NMWAWOJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_32_750&otracker=browse&fm=organic&iid=134c0c60-7700-458f-b1af-fb997984d21b.MOBFWBYZ8DNJNY7N.SEARCH&ppt=None&ppn=None&ssid=zpnchlonn40000001713284376444,4.6,No reviews available
"Apple iPhone 15 Plus (Black, 256 GB)","₹85,999",https://www.flipkart.com/apple-iphone-15-plus-black-256-gb/p/itm4b0608e773fc5?pid=MOBGTAGPWKT2VSBB&lid=LSTMOBGTAGPWKT2VSBBYV0FGC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_32_751&otracker=browse&fm=organic&iid=134c0c60-7700-458f-b1af-fb997984d21b.MOBGTAGPWKT2VSBB.SEARCH&ppt=None&ppn=None&ssid=zpnchlonn40000001713284376444,4.6,No reviews available
"Apple iPhone 12 (White, 64 GB)","₹41,999",https://www.flipkart.com/apple-iphone-12-white-64-gb/p/itm8b88bdc03cd79?pid=MOBFWBYZTK33MBG9&lid=LSTMOBFWBYZTK33MBG98APVO4&marketplace=FLIPKART&store=tyy%2F4io&srno=b_32_758&otracker=browse&fm=organic&iid=134c0c60-7700-458f-b1af-fb997984d21b.MOBFWBYZTK33MBG9.SEARCH&ppt=None&ppn=None&ssid=zpnchlonn40000001713284376444,4.6,No reviews available
"Apple iPhone 14 Plus (Midnight, 128 GB)","₹65,999",https://www.flipkart.com/apple-iphone-14-plus-midnight-128-gb/p/itm4199ea6bcd38b?pid=MOBGHWFH3JX6NWWY&lid=LSTMOBGHWFH3JX6NWWYRH38NG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_32_765&otracker=browse&fm=organic&iid=134c0c60-7700-458f-b1af-fb997984d21b.MOBGHWFH3JX6NWWY.SEARCH&ppt=None&ppn=None&ssid=zpnchlonn40000001713284376444,4.6,No reviews available
"Apple iPhone 15 (Pink, 256 GB)","₹75,999",https://www.flipkart.com/apple-iphone-15-pink-256-gb/p/itmd205d11e1959e?pid=MOBGTAGPFDXBQ9BH&lid=LSTMOBGTAGPFDXBQ9BH7PBY4G&marketplace=FLIPKART&store=tyy%2F4io&srno=b_33_782&otracker=browse&fm=organic&iid=b70ce5f8-e47e-4237-adc2-e9152149d3a6.MOBGTAGPFDXBQ9BH.SEARCH&ppt=None&ppn=None&ssid=g4gdkt4nf40000001713284377575,4.6,No reviews available
"Apple iPhone 14 Plus (Purple, 256 GB)","₹75,999",https://www.flipkart.com/apple-iphone-14-plus-purple-256-gb/p/itm871debcfe760c?pid=MOBGHWFHNJZZRHEN&lid=LSTMOBGHWFHNJZZRHENYREPF6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_33_786&otracker=browse&fm=organic&iid=b70ce5f8-e47e-4237-adc2-e9152149d3a6.MOBGHWFHNJZZRHEN.SEARCH&ppt=None&ppn=None&ssid=g4gdkt4nf40000001713284377575,4.6,No reviews available
"IQOO Neo9 Pro (Conqueror Black, 256 GB)","₹39,868",https://www.flipkart.com/iqoo-neo9-pro-conqueror-black-256-gb/p/itmbadc894a42a39?pid=MOBGYQYYURN6EFCX&lid=LSTMOBGYQYYURN6EFCXYNLNYN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_34_800&otracker=browse&fm=organic&iid=f6c2653e-7db0-4436-a88f-d4f01beefa88.MOBGYQYYURN6EFCX.SEARCH&ppt=None&ppn=None&ssid=r21mibb4qo0000001713284378854,4.6,No reviews available
"Apple iPhone 12 (Blue, 64 GB)","₹41,999",https://www.flipkart.com/apple-iphone-12-blue-64-gb/p/itm5778ad0d0d255?pid=MOBFWBYZ8DNJNY7N&lid=LSTMOBFWBYZ8DNJNY7NMWAWOJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_34_809&otracker=browse&fm=organic&iid=f6c2653e-7db0-4436-a88f-d4f01beefa88.MOBFWBYZ8DNJNY7N.SEARCH&ppt=None&ppn=None&ssid=r21mibb4qo0000001713284378854,4.6,No reviews available
"IQOO NEO9 PRO (Fiery Red, 256 GB)","₹38,499",https://www.flipkart.com/iqoo-neo9-pro-fiery-red-256-gb/p/itmbadc894a42a39?pid=MOBGYZZ9JK4WGZSG&lid=LSTMOBGYZZ9JK4WGZSG7K5CQN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_34_814&otracker=browse&fm=organic&iid=f6c2653e-7db0-4436-a88f-d4f01beefa88.MOBGYZZ9JK4WGZSG.SEARCH&ppt=None&ppn=None&ssid=r21mibb4qo0000001713284378854,4.6,No reviews available
"Apple iPhone 15 Plus (Green, 128 GB)","₹75,999",https://www.flipkart.com/apple-iphone-15-plus-green-128-gb/p/itmaa50abb5e6c3b?pid=MOBGTAGPJVGHTAYC&lid=LSTMOBGTAGPJVGHTAYCTGIMN2&marketplace=FLIPKART&store=tyy%2F4io&srno=b_35_830&otracker=browse&fm=organic&iid=cc4dc082-725f-4f0f-9898-392630c7d474.MOBGTAGPJVGHTAYC.SEARCH&ppt=None&ppn=None&ssid=53k228ppw00000001713284380344,4.6,No reviews available
"Apple iPhone 14 Plus (Yellow, 256 GB)","₹75,999",https://www.flipkart.com/apple-iphone-14-plus-yellow-256-gb/p/itma3eca99a370df?pid=MOBGNHT7DMZ3DZPJ&lid=LSTMOBGNHT7DMZ3DZPJT7XGHX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_37_877&otracker=browse&fm=organic&iid=de792bd4-8c34-4eac-8801-c08e6e9b02d8.MOBGNHT7DMZ3DZPJ.SEARCH&ppt=None&ppn=None&ssid=iorc5ix3k00000001713284382646,4.6,No reviews available
"Apple iPhone 15 Plus (Yellow, 128 GB)","₹75,999",https://www.flipkart.com/apple-iphone-15-plus-yellow-128-gb/p/itm94bb31f2af05a?pid=MOBGTAGPVSMQYGZX&lid=LSTMOBGTAGPVSMQYGZXNTFFPK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_38_903&otracker=browse&fm=organic&iid=c13ee428-9337-4450-ab5d-6fe9bde1100b.MOBGTAGPVSMQYGZX.SEARCH&ppt=None&ppn=None&ssid=kadu71gpdc0000001713284384341,4.6,No reviews available
